unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT
1676160000,12/2/2023 00:00,BTC/USDT,21836,21836,21836,21836,0,0
1676156400,11/2/2023 23:00,BTC/USDT,21836,21836,21836,21836,0.05,1091.8
1676152800,11/2/2023 22:00,BTC/USDT,21816,21841,21816,21825,0.25944216,5662.325142
1676149200,11/2/2023 21:00,BTC/USDT,21730,21730,21730,21730,0.0008,17.384
1676145600,11/2/2023 20:00,BTC/USDT,21657,21700,21657,21680,0.27556736,5974.300365
1676142000,11/2/2023 19:00,BTC/USDT,21651,21651,21651,21651,0.00082235,17.80469985
1676138400,11/2/2023 18:00,BTC/USDT,21710,21710,21637,21647,0.15057084,3259.406973
1676134800,11/2/2023 17:00,BTC/USDT,21700,21700,21700,21700,0,0
1676131200,11/2/2023 16:00,BTC/USDT,21700,21700,21700,21700,0.00090089,19.549313
1676127600,11/2/2023 15:00,BTC/USDT,21742,21742,21728,21728,0.00141756,30.80074368
1676124000,11/2/2023 14:00,BTC/USDT,21744,21744,21744,21744,0.01741537,378.6798053
1676120400,11/2/2023 13:00,BTC/USDT,21684,21684,21684,21684,0,0
1676116800,11/2/2023 12:00,BTC/USDT,21699,21699,21684,21684,0.51578406,11184.26156
1676113200,11/2/2023 11:00,BTC/USDT,21685,21685,21685,21685,0.0005,10.8425
1676109600,11/2/2023 10:00,BTC/USDT,21690,21690,21684,21685,0.66215144,14358.75398
1676106000,11/2/2023 09:00,BTC/USDT,21676,21676,21676,21676,0,0
1676102400,11/2/2023 08:00,BTC/USDT,21676,21676,21676,21676,0,0
1676098800,11/2/2023 07:00,BTC/USDT,21670,21676,21670,21676,0.03,650.28
1676095200,11/2/2023 06:00,BTC/USDT,21676,21676,21676,21676,0.033779,732.193604
1676091600,11/2/2023 05:00,BTC/USDT,21717,21717,21717,21717,0,0
1676088000,11/2/2023 04:00,BTC/USDT,21717,21717,21717,21717,0,0
1676084400,11/2/2023 03:00,BTC/USDT,21717,21717,21717,21717,0.026863,583.383771
1676080800,11/2/2023 02:00,BTC/USDT,21636,21636,21636,21636,0,0
1676077200,11/2/2023 01:00,BTC/USDT,21659,21664,21636,21636,0.85053779,18402.23562
1676073600,11/2/2023 00:00,BTC/USDT,21634,21634,21632,21632,0.00138495,29.9592384
1676070000,10/2/2023 23:00,BTC/USDT,21587,21633,21587,21633,1.76887771,38266.1315
1676066400,10/2/2023 22:00,BTC/USDT,21533,21533,21533,21533,0,0
1676062800,10/2/2023 21:00,BTC/USDT,21671,21671,21449,21533,1.80012245,38762.03672
1676059200,10/2/2023 20:00,BTC/USDT,21749,21749,21738,21738,0.02542678,552.7273436
1676055600,10/2/2023 19:00,BTC/USDT,21708,21770,21708,21770,0.33755251,7348.518143
1676052000,10/2/2023 18:00,BTC/USDT,21704,21732,21704,21732,0.01349724,293.3220197
1676048400,10/2/2023 17:00,BTC/USDT,21637,21670,21637,21655,0.12652147,2739.822433
1676044800,10/2/2023 16:00,BTC/USDT,21647,21703,21603,21620,3.37372744,72939.98725
1676041200,10/2/2023 15:00,BTC/USDT,21819,21905,21546,21613,2.2655934,48966.27015
1676037600,10/2/2023 14:00,BTC/USDT,21793,21884,21793,21846,0.27173864,5936.402329
1676034000,10/2/2023 13:00,BTC/USDT,21827,21827,21767,21793,2.42202823,52783.26122
1676030400,10/2/2023 12:00,BTC/USDT,21739,21742,21739,21742,0.33,7174.86
1676026800,10/2/2023 11:00,BTC/USDT,21793,21796,21779,21779,0.6395,13927.6705
1676023200,10/2/2023 10:00,BTC/USDT,21835,21835,21835,21835,0.04556904,994.9999884
1676019600,10/2/2023 09:00,BTC/USDT,21899,21899,21849,21849,0.95849205,20942.0928
1676016000,10/2/2023 08:00,BTC/USDT,21881,21881,21881,21881,0,0
1676012400,10/2/2023 07:00,BTC/USDT,21879,21881,21874,21881,0.33241046,7273.473275
1676008800,10/2/2023 06:00,BTC/USDT,21805,21805,21805,21805,0,0
1676005200,10/2/2023 05:00,BTC/USDT,21769,21820,21646,21805,4.35084845,94870.25045
1676001600,10/2/2023 04:00,BTC/USDT,21807,21833,21805,21827,1.20699722,26345.12832
1675998000,10/2/2023 03:00,BTC/USDT,21889,21889,21883,21883,0.0859,1879.7497
1675994400,10/2/2023 02:00,BTC/USDT,21812,21812,21812,21812,0,0
1675990800,10/2/2023 01:00,BTC/USDT,21812,21812,21812,21812,0,0
1675987200,10/2/2023 00:00,BTC/USDT,21812,21812,21812,21812,0,0
1675983600,9/2/2023 23:00,BTC/USDT,21849,21853,21808,21812,0.32272651,7039.310636
1675980000,9/2/2023 22:00,BTC/USDT,21828,21949,21813,21893,1.74500963,38203.49583
1675976400,9/2/2023 21:00,BTC/USDT,21973,21973,21719,21840,5.13045886,112049.2215
1675972800,9/2/2023 20:00,BTC/USDT,21971,22070,21847,22047,2.14411281,47271.25512
1675969200,9/2/2023 19:00,BTC/USDT,22400,22449,21902,21902,7.89766958,172974.7591
1675965600,9/2/2023 18:00,BTC/USDT,22570,22570,22487,22487,0.03559751,800.4812074
1675962000,9/2/2023 17:00,BTC/USDT,22511,22587,22495,22495,1.84263805,41450.14293
1675958400,9/2/2023 16:00,BTC/USDT,22611,22614,22466,22508,3.29160556,74087.45794
1675954800,9/2/2023 15:00,BTC/USDT,22683,22685,22570,22606,4.65626342,105259.4909
1675951200,9/2/2023 14:00,BTC/USDT,22749,22785,22685,22685,4.0708138,92346.41105
1675947600,9/2/2023 13:00,BTC/USDT,22715,22767,22697,22744,1.94328049,44197.97146
1675944000,9/2/2023 12:00,BTC/USDT,22677,22774,22577,22708,3.50618252,79618.39266
1675940400,9/2/2023 11:00,BTC/USDT,22702,22728,22673,22673,0.52565506,11918.17718
1675936800,9/2/2023 10:00,BTC/USDT,22742,22742,22681,22697,0.81479395,18493.37828
1675933200,9/2/2023 09:00,BTC/USDT,22736,22745,22684,22734,3.42035662,77758.3874
1675929600,9/2/2023 08:00,BTC/USDT,22680,22768,22674,22727,1.98709975,45160.81602
1675926000,9/2/2023 07:00,BTC/USDT,22720,22729,22658,22670,5.6274587,127574.4887
1675922400,9/2/2023 06:00,BTC/USDT,22607,22722,22587,22708,3.18013802,72214.57416
1675918800,9/2/2023 05:00,BTC/USDT,22573,22629,22543,22608,5.33552522,120625.5542
1675915200,9/2/2023 04:00,BTC/USDT,22505,22602,22375,22572,8.81255563,198917.0057
1675911600,9/2/2023 03:00,BTC/USDT,22759,22759,22447,22517,8.05067621,181277.0762
1675908000,9/2/2023 02:00,BTC/USDT,22948,22948,22819,22819,11.16874573,254859.6088
1675904400,9/2/2023 01:00,BTC/USDT,22979,22987,22946,22953,1.17168452,26893.67479
1675900800,9/2/2023 00:00,BTC/USDT,22962,23006,22937,22982,3.18528911,73204.31433
1675897200,8/2/2023 23:00,BTC/USDT,22881,22959,22881,22959,3.59499491,82537.48814
1675893600,8/2/2023 22:00,BTC/USDT,22954,22974,22954,22968,0.04136999,950.1859303
1675890000,8/2/2023 21:00,BTC/USDT,22837,22960,22837,22960,0.15427038,3542.047925
1675886400,8/2/2023 20:00,BTC/USDT,22822,22895,22795,22845,1.12214434,25635.38745
1675882800,8/2/2023 19:00,BTC/USDT,22892,22899,22847,22869,0.41063471,9390.805183
1675879200,8/2/2023 18:00,BTC/USDT,22994,23012,22867,22877,0.50337395,11515.68585
1675875600,8/2/2023 17:00,BTC/USDT,22949,22992,22919,22941,0.11036044,2531.778854
1675872000,8/2/2023 16:00,BTC/USDT,22858,22935,22700,22935,0.42874506,9833.267951
1675868400,8/2/2023 15:00,BTC/USDT,23011,23011,22873,22873,0.29908168,6840.895267
1675864800,8/2/2023 14:00,BTC/USDT,23074,23074,23074,23074,0.03811709,879.5137347
1675861200,8/2/2023 13:00,BTC/USDT,23097,23101,23093,23093,0.17875232,4127.927326
1675857600,8/2/2023 12:00,BTC/USDT,23179,23179,23113,23113,0.03965757,916.6054154
1675854000,8/2/2023 11:00,BTC/USDT,23167,23171,23165,23165,0.2024621,4690.034547
1675850400,8/2/2023 10:00,BTC/USDT,23191,23191,23167,23175,0.0661294,1532.548845
1675846800,8/2/2023 09:00,BTC/USDT,23224,23224,23198,23217,0.01422283,330.2114441
1675843200,8/2/2023 08:00,BTC/USDT,23240,23240,23202,23215,0.1559726,3620.903909
1675839600,8/2/2023 07:00,BTC/USDT,23207,23207,23207,23207,0.00065297,15.15347479
1675836000,8/2/2023 06:00,BTC/USDT,23202,23226,23202,23226,0.00629593,146.2292702
1675832400,8/2/2023 05:00,BTC/USDT,23245,23245,23197,23197,0.15222716,3531.213431
1675828800,8/2/2023 04:00,BTC/USDT,23258,23258,23242,23242,2.7611071,64173.65122
1675825200,8/2/2023 03:00,BTC/USDT,23256,23280,23253,23280,0.03519396,819.3153888
1675821600,8/2/2023 02:00,BTC/USDT,23292,23298,23280,23280,0.04720545,1098.942876
1675818000,8/2/2023 01:00,BTC/USDT,23400,23409,23314,23314,0.3,6994.2
1675814400,8/2/2023 00:00,BTC/USDT,23300,23330,23300,23326,0.22523542,5253.841407
1675810800,7/2/2023 23:00,BTC/USDT,23260,23289,23248,23289,0.07147637,1664.613181
1675807200,7/2/2023 22:00,BTC/USDT,23166,23248,23166,23248,0.30349548,7055.662919
1675803600,7/2/2023 21:00,BTC/USDT,23242,23263,23204,23216,0.2704785,6279.428856
1675800000,7/2/2023 20:00,BTC/USDT,23081,23240,23054,23240,0.03431641,797.5133684
1675796400,7/2/2023 19:00,BTC/USDT,22968,23105,22968,23082,0.33274084,7680.324069
1675792800,7/2/2023 18:00,BTC/USDT,23282,23282,22780,22896,2.01486457,46132.33919
1675789200,7/2/2023 17:00,BTC/USDT,22920,23328,22904,23294,5.38658317,125475.0684
1675785600,7/2/2023 16:00,BTC/USDT,22994,22994,22994,22994,0.00749332,172.3014001
1675782000,7/2/2023 15:00,BTC/USDT,22898,22939,22898,22927,1.48742398,34102.16959
1675778400,7/2/2023 14:00,BTC/USDT,22983,22990,22974,22990,0.10376722,2385.608388
1675774800,7/2/2023 13:00,BTC/USDT,23024,23024,22979,23009,2.18678407,50315.71467
1675771200,7/2/2023 12:00,BTC/USDT,22999,23009,22966,22984,0.44968324,10335.51959
1675767600,7/2/2023 11:00,BTC/USDT,22980,22997,22974,22997,0.52714783,12122.81865
1675764000,7/2/2023 10:00,BTC/USDT,23007,23007,23001,23001,0.25,5750.25
1675760400,7/2/2023 09:00,BTC/USDT,22944,23012,22944,23012,0.10143072,2334.123729
1675756800,7/2/2023 08:00,BTC/USDT,22920,22920,22884,22884,0.02068614,473.3816278
1675753200,7/2/2023 07:00,BTC/USDT,22949,22949,22949,22949,0.0758,1739.5342
1675749600,7/2/2023 06:00,BTC/USDT,22971,22971,22956,22956,0.10987489,2522.287975
1675746000,7/2/2023 05:00,BTC/USDT,22902,22902,22902,22902,0.00044769,10.25299638
1675742400,7/2/2023 04:00,BTC/USDT,22874,22930,22874,22925,0.11351528,2602.337794
1675738800,7/2/2023 03:00,BTC/USDT,22883,22897,22883,22897,0.01644333,376.502927
1675735200,7/2/2023 02:00,BTC/USDT,22884,22884,22884,22884,0.00056677,12.96996468
1675731600,7/2/2023 01:00,BTC/USDT,22865,22865,22854,22854,0.04258049,973.1345185
1675728000,7/2/2023 00:00,BTC/USDT,22789,22789,22789,22789,0.0361,822.6829
1675724400,6/2/2023 23:00,BTC/USDT,22685,22774,22660,22774,0.69528713,15834.4691
1675720800,6/2/2023 22:00,BTC/USDT,22891,22900,22300,22900,4.55187841,104238.0156
